
2019-11-05 22:34 | 550
2019-11-05 22:38 | 2200
2019-11-05 23:02 | 200
2019-11-05 23:16 | 350
2019-11-06 14:33 | 200
2019-11-06 14:41 | 150
2019-11-06 14:44 | 0
2019-11-06 14:47 | 0
2019-11-06 14:49 | 250
2019-11-06 14:51 | 150
2019-11-06 14:53 | 0
2019-11-06 14:56 | 600
2019-11-06 15:00 | 450
2019-11-06 15:03 | 250
2019-11-06 15:11 | 600
2019-11-06 15:19 | 700
2019-11-06 15:30 | 100
2019-11-06 23:57 | 0
2019-12-00 00:37 | 0
2019-12-00 00:39 | 0
2019-12-00 00:49 | 0
2019-12-00 00:59 | 150
2019-12-00 01:11 | 0
2019-12-00 01:16 | 0
